,id,premise,hypothesis,correct_label,explanation_original,prediction_1_score,Correct explanation_1?,explanation-label_original,prediction_2_score,Correct explanation_2? ,explanation_custom,prediction_3_score,Correct explanation_3?,explanation-label_custom,prediction_4_score,Correct explanation_4? ,explanation-original_neural_score,explanation-original_rouge_1_max,explanation-original_rouge_2_max,explanation-original_rouge_L_max,label-explanation-original_neural_score,label-explanation-original_rouge_1_max,label-explanation-original_rouge_2_max,label-explanation-original_rouge_L_max,label-explanation-original_correct_label?,label-explanation-original_label_difference,explanation-custom_neural_score,explanation-custom_rouge_1_max,explanation-custom_rouge_2_max,explanation-custom_rouge_L_max,label-explanation-custom_neural_score,label-explanation-custom_rouge_1_max,label-explanation-custom_rouge_2_max,label-explanation-custom_rouge_L_max,label-explanation-custom_correct_label?,label-explanation-custom_label_difference,
7459,259,A person in orange clothing rests above a metro entrance.,A person is waiting for a train.,neutral,Just because a person rests above a metro entrance does not mean they are waiting for a train.,2,1,neutral: Resting above a metro entrance does not imply waiting for a train.,2,1,Resting above a metro entrance does not imply waiting for a train.,2,1,neutral: Resting above a metro entrance does not imply waiting for a train.,2,1,0.162237186,0.705882353,0.5625,0.705882353,0.16866266,0.72,0.608695652,0.72,TRUE," predicted: neutral, target: neutral",0.240506238,0.75,0.636363636,0.75,0.168662599,0.72,0.608695652,0.72,TRUE," predicted: neutral, target: neutral",
6326,602,The little boy gets ready to kick the soccer ball.,the boy is sleeping at home,contradiction,The boy cannot be sleeping and getting ready to kick the soccer ball at the same time.,5,1,contradiction: The boy cannot be sleeping and getting ready to kick the soccer ball at the same time.,5,1,The boy cannot kick the soccer ball and be sleeping at home at the same time.,4,1,contradiction: The boy cannot kick the soccer ball and be sleeping at the same time.,4,1,0.138842453,0.689655172,0.466666667,0.625,0.127145403,0.666666667,0.451612903,0.606060606,TRUE," predicted: contradiction, target: contradiction",0.200840991,0.785714286,0.384615385,0.642857143,0.138306763,0.740740741,0.32,0.592592593,TRUE," predicted: contradiction, target: contradiction",
7302,1122,Kids play in water coming up in streams out of a tiled floor with an image of a large rose on it.,Kids are playing in water.,entailment,Kids are playing in water is a rephrasing of kids play in water coming up in streams out of a tiled floor with an image of a large rose on it.,1,1,entailment: Kids are playing in water is a rephrasing of kids play in water coming up in streams out of a tiled floor with an image of a large rose on it.,1,1,Playing in water is a rephrasing of play in water coming up in streams out of a tiled floor with an image of a large rose on it.,1,1,entailment: Kids are playing in water is a rephrasing of kids play in water coming up in streams out of a tiled floor with an image of a large rose on it.,1,1,0.16187558,0.708333333,0.652173913,0.5,0.161489001,0.693877551,0.638297872,0.489795918,TRUE," predicted: entailment, target: entailment",0.089546072,0.622222222,0.511627907,0.444444444,0.161489001,0.693877551,0.638297872,0.489795918,TRUE," predicted: entailment, target: entailment",
7113,1127,A woman with short blond-hair rises from a chair as another woman in a burgundy shirt laughs.,A woman is getting ready to box,neutral,Just because a woman rises from a chair does not mean she is getting ready to box.,3,1,neutral: A woman with short blond-hair rises from a chair as another woman in a burgundy shirt laughs does not indicate that she is getting ready to box,2,1,A woman with short blond-hair rises from a chair as another woman in a burgundy shirt laughs does not indicate that she is getting ready to box,2,1,contradiction: A woman who rises from a chair is not getting ready to box.,1,0,0.217230771,0.685714286,0.484848485,0.685714286,0.153773503,0.814814815,0.692307692,0.814814815,TRUE," predicted: neutral, target: neutral",0.160417768,0.830188679,0.705882353,0.830188679,0.127004521,0.5625,0.4,0.5625,FALSE," predicted: contradiction, target: neutral",
7409,1155,Man in red jacket is opening the door while holding his car keys.,The man was holding the door for his girlfreind,neutral,Just because the man is opening the door does not mean he is holding the door for his girlfreind.,5,1,neutral: Just because a man is opening the door while holding his car keys does not mean he is holding the door for his girlfreind.,5,1,Just because the man is opening the door does not mean he is holding the door for his girlfreind.,5,1,neutral: Just because the man is opening the door does not mean he is holding the door for his girlfreind.,5,1,0.241614839,0.685714286,0.52,0.685714286,0.166150909,0.793103448,0.75,0.793103448,TRUE," predicted: neutral, target: neutral",0.241614782,0.685714286,0.52,0.685714286,0.232763676,0.666666667,0.509803922,0.666666667,TRUE," predicted: neutral, target: neutral",
9036,1228,A young man holds a hammer shaped object in the air with one hand and a similar shaped object in the other while making a funny expression.,A person is holding a tool.,entailment,"A young man is a person, and a hammer is a tool.",3,1,entailment: A hammer is a tool.,3,1,"A young man is a person, and a hammer is a tool.",3,1,"entailment: A young man is a person, and a hammer is a tool.",3,1,0.360600922,0.909090909,0.7,0.909090909,0.278592072,0.909090909,0.888888889,0.909090909,TRUE," predicted: entailment, target: entailment",0.360600922,0.909090909,0.7,0.909090909,0.299750047,0.869565217,0.666666667,0.869565217,TRUE," predicted: entailment, target: entailment",
5170,1292,The pitcher is pitching the ball in a game of baseball.,The pitcher throws the ball.,entailment,The pitcher is pitching the ball is a rephrasing of the pitcher throws the ball.,5,1,entailment: The pitcher is pitching the ball is a rephrasing of the pitcher throws the ball.,5,1,The pitcher throws the ball because he is pitching the ball.,4,1,entailment: Pitching the ball is a rephrasing of throws the ball.,5,1,0.097362539,0.685714286,0.424242424,0.628571429,0.098557132,0.666666667,0.411764706,0.611111111,TRUE," predicted: entailment, target: entailment",0.079731549,0.580645161,0.5,0.555555556,0.050329717,0.516129032,0.344827586,0.451612903,TRUE," predicted: entailment, target: entailment",
3583,1612,Bicyclist ride the course near the ocean as the day comes to an end.,The cyclist was riding in the morning.,contradiction,The cyclist cannot be riding in the morning and as the day comes to an end at the same time.,5,1,contradiction: The cyclist cannot be riding in the morning and as the day comes to an end at the same time.,5,1,The cyclist can't be riding in the morning and as the day comes to an end at the same time.,5,1,contradiction: The cyclist cannot be riding in the morning and as the day comes to an end at the same time.,5,1,0.06713727,0.580645161,0.413793103,0.529411765,0.069153274,0.5625,0.4,0.514285714,TRUE," predicted: contradiction, target: contradiction",0.064890626,0.5625,0.4,0.514285714,0.069153274,0.5625,0.4,0.514285714,TRUE," predicted: contradiction, target: contradiction",
1881,1865,Man chopping wood with an axe.,The man is outside.,entailment,A man chopping wood with an axe must be outside.,3,1,neutral: Just because a man is chopping wood with an axe does not mean he is outside.,1,0,A man chopping wood with an axe must be outside.,3,1,neutral: Just because a man is chopping wood with an axe does not mean he is outside.,1,0,0.08548715,0.5,0.333333333,0.428571429,0.042239806,0.285714286,0.105263158,0.285714286,FALSE," predicted: neutral, target: entailment",0.08548715,0.5,0.333333333,0.428571429,0.042239806,0.285714286,0.105263158,0.285714286,FALSE," predicted: neutral, target: entailment",
3915,2424,A guy gettin lots of air on a skateboard at a skatepark,A guy riding a skateboard.,entailment,Riding a skateboard is a rephrasing of gettin lots of air on a skateboard.,3,0,entailment: A guy getting lots of air on a skateboard is riding a skateboard.,5,1,A guy getting lots of air on a skateboard is riding a skateboard.,4,1,entailment: Getting lots of air on a skateboard implies riding a skateboard.,4,1,0.102656119,0.642857143,0.538461538,0.538461538,0.074794769,0.769230769,0.615384615,0.714285714,TRUE," predicted: entailment, target: entailment",0.062894766,0.8,0.64,0.740740741,0.127533009,0.846153846,0.75,0.846153846,TRUE," predicted: entailment, target: entailment",
117,2489,Cityscape with four men on bikes serving as the focal point of picture.,Local robbers escape after stealing an otter,contradiction,Four men on bikes are not the same as local robbers escaping after stealing an otter.,4,1,contradiction: Four men are not local robbers.,2,1,Four men on bikes serving as the focal point of picture is not the same as local robbers escape after stealing an otter.,4,1,contradiction: Four men on bikes are not the same as local robbers escaping after stealing an otter.,4,1,0.017801833,0.428571429,0.230769231,0.357142857,0.010769468,0.210526316,0.117647059,0.210526316,TRUE," predicted: contradiction, target: contradiction",0.045398365,0.685714286,0.424242424,0.5,0.017066062,0.413793103,0.222222222,0.344827586,TRUE," predicted: contradiction, target: contradiction",
6391,3043,"A man in a tie-dyed shirt and jeans is sitting on a bench with a dog and a guitar on his lap, as well as a harmonica near his mouth.",The street performer takes a break.,neutral,"A man in a tie-dyed shirt and jeans is sitting on a bench with a dog and a guitar on his lap, as well as a harmonica near his mouth does not indicate that the street performer takes a break.",2,1,"neutral: A man in a tie-dyed shirt and jeans is sitting on a bench with a dog and a guitar on his lap, as well as a harmonica near his mouth does not indicate that the street performer takes a break.",2,1,"A man in a tie-dyed shirt and jeans is sitting on a bench with a dog and a guitar on his lap, as well as a harmonica near his mouth does not indicate that he is a street performer takes a break.",3,1,"neutral: Just because a man is sitting on a bench with a dog and a guitar on his lap, as well as a harmonica near his mouth does not mean he is a street performer.",2,1,0.131098138,0.516129032,0.392857143,0.483870968,0.12898327,0.507936508,0.385964912,0.476190476,TRUE," predicted: neutral, target: neutral",0.144593168,0.5625,0.451612903,0.5625,0.218008052,0.714285714,0.62962963,0.714285714,TRUE," predicted: neutral, target: neutral",
7467,3254,A woman is walking her dog and using her cellphone.,The woman is walking her cat.,contradiction,A dog is not a cat.,4,1,contradiction: A dog is not a cat.,4,1,A dog is not a cat.,4,1,contradiction: A dog is not a cat.,4,1,0.227439701,0.769230769,0.545454545,0.769230769,0.168887818,0.714285714,0.5,0.714285714,TRUE," predicted: contradiction, target: contradiction",0.227439538,0.769230769,0.545454545,0.769230769,0.168887818,0.714285714,0.5,0.714285714,TRUE," predicted: contradiction, target: contradiction",
6343,3441,Two construction workers talk while looking at a Naval ship.,The workers are on break.,neutral,Just because two construction workers talk while looking at a Naval ship does not mean they are on break.,4,1,contradiction: The workers can't be on break if they are talking while looking at a naval ship.,1,0,Just because two construction workers talk while looking at a Naval ship does not mean they are on break.,4,1,contradiction: The workers can't be on break if they talk while looking at a naval ship.,1,0,0.152674605,0.727272727,0.387096774,0.666666667,0.127661205,0.5,0.260869565,0.4,FALSE," predicted: contradiction, target: neutral",0.152674605,0.727272727,0.387096774,0.666666667,0.119427245,0.5,0.272727273,0.416666667,FALSE," predicted: contradiction, target: neutral",
1998,3858,"A man with a blue, collared shirt sits in front of another man.",a man sits in front of another man,entailment,"A man with a blue, collared shirt sits in front of another man is a rephrasing of a man sits in front of another man.",2,1,"entailment: A man with a blue, collared shirt sits in front of another man is a rephrasing of a man sits in front of another man.",2,1,"A man with a blue, collared shirt sits in front of another man is a rephrasing of a man sits in front of another man.",2,1,"entailment: A man with a blue, collared shirt sits in front of another man is a rephrasing of a man sits in front of another man.",2,1,0.03832104,0.470588235,0.4375,0.470588235,0.043967207,0.457142857,0.424242424,0.457142857,TRUE," predicted: entailment, target: entailment",0.03832104,0.470588235,0.4375,0.470588235,0.043967207,0.457142857,0.424242424,0.457142857,TRUE," predicted: entailment, target: entailment",
1084,4252,"A guy in boots, jeans and a blue shirt is falling off a bull by a cowboy standing on a red fence with the numbers 2 and 4 on it.",A guy standed near the fence.,entailment,"A guy in boots, jeans and a blue shirt is falling off a bull by a cowboy standing on a red fence with the numbers 2 and 4 on it is a rephrasing of a guy standed near the fence.",1,1,entailment: Standing on a red fence is a rephrasing of standed near the fence.,3,0,Standing on a red fence is a rephrasing of standed near the fence.,3,0,"entailment: A guy in boots, jeans and a blue shirt is falling off a bull by a cowboy standing on a red fence with the numbers 2 and 4 on it is a rephrasing of a guy standed near the fence.",1,0,0.271942716,1,0.974358974,0.75,0.030362749,0.481481481,0.423076923,0.428571429,TRUE," predicted: entailment, target: entailment",0.028222647,0.490566038,0.431372549,0.444444444,0.277361748,0.987654321,0.962025316,0.740740741,TRUE," predicted: entailment, target: entailment",
4861,4537,two people riding their bikes down a street together.,A couple ride their bikes on a date.,neutral,Just because two people are riding their bikes together does not mean they are a couple or that they are on a date.,5,1,neutral: Just because two people are riding their bikes together doesn't mean they are a couple. Just because two people are riding their bikes together doesn't mean they are on a date.,5,1,Two people riding their bikes down a street together does not indicate that they are a couple ride their bikes on a date.,3,1,neutral: Two people riding their bikes together does not imply that they are a couple or that they are on a date.,5,1,0.096111753,0.4375,0.25,0.411764706,0.091868283,0.311111111,0.186046512,0.311111111,TRUE," predicted: neutral, target: neutral",0.09614863,0.4375,0.25,0.411764706,0.086950384,0.451612903,0.258064516,0.424242424,TRUE," predicted: neutral, target: neutral",
5467,4731,A man wearing black pants and a helmet is riding a brown horse.,A man is riding a brown horse while protecting his head with a helmet.,entailment,A man wearing black pants and a helmet is a rephrasing of a man is riding a brown horse while protecting his head with a helmet.,2,1,entailment: A man wearing black pants and a helmet is riding a brown horse is a rephrasing of a man is riding a brown horse while protecting his head with a helmet.,2,1,A man wearing black pants and a helmet is a rephrasing of a man is riding a brown horse while protecting his head with a helmet.,2,1,entailment: A man wearing black pants and a helmet is riding a brown horse is a rephrasing of a man is riding a brown horse while protecting his head with a helmet.,2,1,0.153037274,0.631578947,0.5,0.631578947,0.105518253,0.545454545,0.428571429,0.545454545,TRUE," predicted: entailment, target: entailment",0.153037274,0.631578947,0.5,0.631578947,0.105518253,0.545454545,0.428571429,0.545454545,TRUE," predicted: entailment, target: entailment",
1581,4757,Two men are boxing in fighting arena.,TWo men are boxing.,entailment,Two men are boxing is a rephrasing of Two men are boxing.,2,1,entailment: Two men are boxing is a rephrasing of TWo men are boxing.,2,1,Two men are boxing is a rephrasing of TWo men are boxing.,2,1,entailment: Two men are boxing is a rephrasing of TWo men are boxing.,2,1,0.037148721,0.75,0.545454545,0.75,0.037949972,0.72,0.52173913,0.72,TRUE," predicted: entailment, target: entailment",0.04024027,0.75,0.545454545,0.75,0.037949972,0.72,0.52173913,0.72,TRUE," predicted: entailment, target: entailment",
2660,4833,a soccer player wearing a red uniform walks off the field after a game near a parking lot.,There is a field with a parking lot.,entailment,"If a soccer player walks off the field near a parking lot, then there is a field with a parking lot.",4,1,"entailment: If a soccer player walks off the field after a game near a parking lot, then there is a field with a parking lot.",4,1,A soccer player near a parking lot implies there is a field with a parking lot.,3,0,entailment: A soccer player near a parking lot means there is a field with a parking lot.,3,0,0.048140702,0.647058824,0.375,0.588235294,0.053933902,0.578947368,0.333333333,0.526315789,TRUE," predicted: entailment, target: entailment",0.048938089,0.620689655,0.37037037,0.482758621,0.048926527,0.6,0.357142857,0.466666667,TRUE," predicted: entailment, target: entailment",
1517,5839,"A young female gymnast, wearing a sequined royal blue and white outfit, is lifting her right leg straight up in the air.",A dog is barking at the TV.,contradiction,A female gymnast is not a dog.,3,1,contradiction: A female gymnast is not a dog.,3,1,A female gymnast is not a dog.,3,1,contradiction: A female gymnast is not a dog.,3,1,0.035560537,0.75,0.285714286,0.428571429,0.036967438,0.705882353,0.266666667,0.4,TRUE," predicted: contradiction, target: contradiction",0.035560537,0.75,0.285714286,0.428571429,0.036967447,0.705882353,0.266666667,0.4,TRUE," predicted: contradiction, target: contradiction",
3740,5880,A child with wet hair is holding a butterfly decorated beach ball.,The child is dry.,contradiction,The child cannot be dry and wet at the same time.,5,1,contradiction: The child cannot be dry and wet at the same time.,5,1,The child cannot be dry and wet at the same time.,5,1,contradiction: The child cannot be dry and wet at the same time.,5,1,0.078728977,0.5,0.222222222,0.4,0.071695805,0.48,0.210526316,0.380952381,TRUE," predicted: contradiction, target: contradiction",0.078728977,0.5,0.222222222,0.4,0.071695839,0.48,0.210526316,0.380952381,TRUE," predicted: contradiction, target: contradiction",
927,5899,A man wearing shorts and a blue t-shirt is applying signage to the display window of an ice cream shop.,A man is putting a sign in the window.,entailment,Putting a sign in the window is a rephrasing of applying signage to the display window.,5,1,entailment: Applying signage is the same as putting a sign.,5,1,Putting a sign in the window is a rephrasing of applying signage to the display window.,5,1,entailment: Applying signage is a form of putting a sign.,4,1,0.022040598,0.583333333,0.272727273,0.5,0.027890545,0.666666667,0.375,0.333333333,TRUE," predicted: entailment, target: entailment",0.022040598,0.583333333,0.272727273,0.5,0.045631315,0.777777778,0.375,0.444444444,TRUE," predicted: entailment, target: entailment",
1589,6071,"A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.",A homeless man in torn jeans begs.,neutral,"A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change does not indicate that he in torn jeans begs.",3,1,contradiction: The homeless man is either shirtless or in torn jeans.,1,0,Not all shirtless homeless men wear torn jeans.,3,1,neutral: Not all homeless men wear torn jeans.,4,1,0.031970058,0.333333333,0.117647059,0.333333333,0.038070428,0.5,0.333333333,0.5,FALSE," predicted: contradiction, target: neutral",0.276034139,0.933333333,0.769230769,0.933333333,0.342421538,0.933333333,0.923076923,0.933333333,TRUE," predicted: neutral, target: neutral",
5987,6191,A dog is walking down steps.,A large dog is walking down the front steps.,neutral,Not all dogs are large. Just because a dog is walking down steps does not mean it is walking down the front steps.,5,1,neutral: Not all dogs are large.,4,1,Not all dogs are large. Not all steps are the front steps.,5,1,neutral: Not all dogs are large.,4,1,0.075598648,0.466666667,0.25,0.380952381,0.117945152,0.615384615,0.363636364,0.615384615,TRUE," predicted: neutral, target: neutral",0.105518756,0.516129032,0.344827586,0.516129032,0.117945152,0.615384615,0.363636364,0.615384615,TRUE," predicted: neutral, target: neutral",
1062,6395,The blond girl is opening her drink as she speaks to the person with her.,A girl is opening a Diet Coke while talking to her boyfriend.,neutral,Not all drinks are Diet Coke.,4,1,neutral: Not all drinks are Diet Coke.,4,1,Not all drinks are Diet Coke.,4,1,neutral: Not all drinks are Diet Coke.,4,1,0.032733263,0.5,0.272727273,0.416666667,0.03003304,0.48,0.260869565,0.4,TRUE," predicted: neutral, target: neutral",0.032733263,0.5,0.272727273,0.416666667,0.03003304,0.48,0.260869565,0.4,TRUE," predicted: neutral, target: neutral",
9590,6560,A man in a white shirt speaks into a microphone as other men gather behind him at a public event.,The man speaking is the President of the United States.,neutral,Just because a man speaks into a microphone does not mean he is the President of the United States.,5,1,neutral: A man in a white shirt speaks into a microphone as other men gather behind him at a public event does not indicate that he speaking is the President of the United States.,3,1,A man in a white shirt speaks into a microphone as other men gather behind him at a public event does not necessary that the man speaking is the President of the United States.,3,1,neutral: Just because a man speaks into a microphone does not mean he is the President of the United States.,5,1,0.06878189,0.628571429,0.458333333,0.571428571,0.355254639,0.861538462,0.793650794,0.861538462,TRUE," predicted: neutral, target: neutral",0.35401216,0.830769231,0.793650794,0.830769231,0.065476033,0.611111111,0.448979592,0.555555556,TRUE," predicted: neutral, target: neutral",
2186,7044,cheerleaders pose for the camera.,The cheerleaders are getting their picture taken.,entailment,The cheerleaders are getting their picture taken because they pose for the camera.,5,1,"entailment: If the cheerleaders pose for the camera, then they are getting their picture taken.",5,1,The cheerleaders are getting their picture taken because they pose for the camera.,5,1,"entailment: If the cheerleaders pose for the camera, they are getting their picture taken.",5,1,0.024805536,0.526315789,0.32,0.333333333,0.04679698,0.482758621,0.296296296,0.482758621,TRUE," predicted: entailment, target: entailment",0.024805536,0.526315789,0.32,0.333333333,0.050014961,0.5,0.307692308,0.5,TRUE," predicted: entailment, target: entailment",
7794,7072,A boy in a hat and glasses is playing a guitar.,A boy is singing.,neutral,Playing a guitar does not imply singing.,5,1,neutral: Playing a guitar does not imply singing.,5,1,Playing a guitar does not imply singing.,5,1,neutral: Playing a guitar does not imply singing.,5,1,0.234137419,0.923076923,0.727272727,0.923076923,0.183871276,0.857142857,0.666666667,0.857142857,TRUE," predicted: neutral, target: neutral",0.234137195,0.923076923,0.727272727,0.923076923,0.183871254,0.857142857,0.666666667,0.857142857,TRUE," predicted: neutral, target: neutral",
5546,7208,Two men in hard hats and safety neon vests on scaffolding working outside in the daylight.,The men are very careful on the scaffold.,neutral,Just because the men are wearing hard hats and safety vests doesn't mean they are very careful.,5,1,neutral: Not all men in hard hats and safety vests on scaffolding working outside in the daylight are very careful on the scaffold.,4,1,Not all men in hard hats and safety neon vests on scaffolding working outside in the daylight are very careful on the scaffold.,4,1,neutral: Not all men in hard hats and safety neon vests on scaffolding working outside in the daylight are very careful on the scaffold.,4,1,0.093962538,0.769230769,0.486486486,0.717948718,0.107175989,0.636363636,0.428571429,0.590909091,TRUE," predicted: neutral, target: neutral",0.170114627,0.681818182,0.523809524,0.636363636,0.163054582,0.666666667,0.511627907,0.622222222,TRUE," predicted: neutral, target: neutral",
5822,7212,A young blond child eats chocolate cake with his fingers while holding the spoon in their other hand.,a child has chocolate all over his hand,entailment,The child has chocolate all over his hand because he eats chocolate cake with his fingers while holding the spoon in their other hand.,4,1,entailment: A child eats chocolate cake with his fingers while holding the spoon in their other hand is a rephrasing of a child has chocolate all over his hand.,2,0,The child has chocolate all over his hand because he eats chocolate cake with his fingers while holding the spoon in their other hand.,5,1,entailment: A child eats chocolate cake with his fingers while holding the spoon in their other hand implies that the child has chocolate all over his hand.,4,1,0.191763698,0.666666667,0.540540541,0.615384615,0.114499854,0.530612245,0.333333333,0.489795918,TRUE," predicted: entailment, target: entailment",0.191763698,0.666666667,0.540540541,0.615384615,0.141190542,0.553191489,0.4,0.510638298,TRUE," predicted: entailment, target: entailment",
7719,7321,Four people stand in front of trees.,Four people outdoor.,entailment,Trees are outdoors.,5,1,entailment: Trees are outdoors.,5,1,Trees are found outdoors.,5,1,entailment: Trees are outdoors.,5,1,0.174457632,1,1,1,0.180955544,0.857142857,0.8,0.857142857,TRUE," predicted: entailment, target: entailment",0.135081745,0.857142857,0.4,0.857142857,0.180955544,0.857142857,0.8,0.857142857,TRUE," predicted: entailment, target: entailment",
2351,7562,A kid dressed in a long-sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race.,A team of youths race to finish first in a relay race on a beach.,entailment,A kid dressed in a long-sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race is a team of youths race to finish first in a relay race on a beach.,1,0,neutral: A kid dressed in a long-sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race does not indicate that a team of youths race to finish first in a relay race on,1,0,"A kid and a boy are a team of youths, and a relay race is a relay race on a beach.",2,1,neutral: A kid dressed in a long-sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race does not indicate that a team of youths race to finish first in a relay race on,1,0,0.045570116,0.529411765,0.393939394,0.5,0.049417233,0.514285714,0.382352941,0.485714286,FALSE," predicted: neutral, target: entailment",0.137391634,0.631578947,0.444444444,0.578947368,0.049417233,0.514285714,0.382352941,0.485714286,FALSE," predicted: neutral, target: entailment",
2354,7714,four children are dancing around a pole in a city street.,Four children are dancing around a pole.,entailment,Four children are dancing around a pole is a rephrasing of four children are dancing around a pole in a city street.,3,1,entailment: Four children are dancing around a pole is a rephrasing of four children are dancing around a pole in a city street.,3,1,Four children are dancing around a pole is a rephrasing of four children are dancing around a pole in a city street.,3,1,entailment: Four children are dancing around a pole is a rephrasing of four children are dancing around a pole.,3,1,0.056829153,0.647058824,0.5,0.470588235,0.049448654,0.628571429,0.484848485,0.457142857,TRUE," predicted: entailment, target: entailment",0.056829153,0.647058824,0.5,0.470588235,0.018594242,0.516129032,0.344827586,0.516129032,TRUE," predicted: entailment, target: entailment",
7073,8004,A short-haired man is jumping while on top of a huge boulder.,The man is sitting down on the rock.,contradiction,The man cannot be jumping and sitting at the same time.,5,1,contradiction: The man can't be jumping and sitting down at the same time.,5,1,The man cannot be jumping and sitting at the same time.,5,1,contradiction: The man cannot be jumping and sitting at the same time.,5,1,0.184831378,0.857142857,0.421052632,0.666666667,0.152152226,0.666666667,0.272727273,0.5,TRUE," predicted: contradiction, target: contradiction",0.184831378,0.857142857,0.421052632,0.666666667,0.181853785,0.818181818,0.4,0.636363636,TRUE," predicted: contradiction, target: contradiction",
5376,8127,Two lacrosse players are running on the sports-field.,One of the boys scored a goal for his sports team today.,neutral,Two lacrosse players are running on the sports-field does not indicate that one of the boys scored a goal for his sports team today.,5,1,neutral: Just because two lacrosse players are running on the sports-field does not mean one of the boys scored a goal for his sports team today.,5,1,Just because two lacrosse players are running on the sports-field does not mean one of the boys scored a goal for his sports team today.,5,1,neutral: Just because two lacrosse players are running on the sports-field does not mean one of the boys scored a goal for his sports team today.,5,1,0.090423471,0.541666667,0.347826087,0.5,0.103164302,0.64,0.416666667,0.56,TRUE," predicted: neutral, target: neutral",0.105819516,0.653061224,0.425531915,0.571428571,0.103164302,0.64,0.416666667,0.56,TRUE," predicted: neutral, target: neutral",
7879,8714,Two girls in bathing suits are in water.,Two girls practicing swimming in a pool,neutral,Just because two girls are in water does not mean they are practicing swimming in a pool.,5,1,neutral: Two girls in bathing suits are in water does not indicate that they practicing swimming in a pool,4,1,Two girls in bathing suits are in water does not indicate that they practicing swimming in a pool,4,1,neutral: Two girls in bathing suits are in water does not indicate that they practicing swimming in a pool,4,1,0.062829001,0.722222222,0.647058824,0.666666667,0.188547391,0.684210526,0.5,0.631578947,TRUE," predicted: neutral, target: neutral",0.20907018,0.702702703,0.514285714,0.648648649,0.188547391,0.684210526,0.5,0.631578947,TRUE," predicted: neutral, target: neutral",
3881,8825,A woman with a blue shirt and colorful hair has just thrown the bowling ball.,A woman is in a bowling alley.,neutral,A woman with a blue shirt and colorful hair has just thrown the bowling ball does not indicate that she is in a bowling alley.,3,1,neutral: Just because a woman has just thrown the bowling ball does not mean she is in a bowling alley.,5,1,A woman with a blue shirt and colorful hair has just thrown the bowling ball does not indicate that she is in a bowling alley.,3,1,neutral: Just because a woman has just thrown the bowling ball does not mean she is in a bowling alley.,5,1,0.08512831,0.473684211,0.216216216,0.461538462,0.074198063,0.545454545,0.25,0.470588235,TRUE," predicted: neutral, target: neutral",0.08512831,0.473684211,0.216216216,0.461538462,0.074198063,0.545454545,0.25,0.470588235,TRUE," predicted: neutral, target: neutral",
4476,9656,An African-American male youth is riding a green bicycle while other people are looking at pictures on a board.,A boy is walking on a sidewalk in his neighborhood.,contradiction,One cannot be riding a bicycle and walking at the same time.,5,1,contradiction: The boy cannot be riding a bicycle and walking at the same time.,5,1,The boy cannot be riding a bicycle and walking on a sidewalk at the same time.,5,1,contradiction: One cannot be riding a bicycle and walking at the same time.,5,1,0.077926008,0.692307692,0.416666667,0.538461538,0.084851232,0.714285714,0.384615385,0.571428571,TRUE," predicted: contradiction, target: contradiction",0.186422604,0.866666667,0.571428571,0.733333333,0.052102833,0.666666667,0.4,0.518518519,TRUE," predicted: contradiction, target: contradiction",
5028,9754,A man and a woman embracing on the sidewalk.,Two women embrace on the sidewalk.,contradiction,There can either be a man and a woman or two women.,4,1,contradiction: There can either be a man and a woman or two women.,4,1,A man and a woman are not two women.,4,1,contradiction: There can either be a man and a woman or two women.,4,1,0.093912639,0.620689655,0.476190476,0.608695652,0.095198813,0.6,0.454545455,0.583333333,TRUE," predicted: contradiction, target: contradiction",0.134143893,0.8,0.666666667,0.8,0.095198813,0.6,0.454545455,0.583333333,TRUE," predicted: contradiction, target: contradiction",
