,id,premise,hypothesis,correct_label,explanation_original,prediction_1_score,Correct explanation_1?,explanation-label_original,prediction_2_score,Correct explanation_2? ,explanation_custom,prediction_3_score,Correct explanation_3?,explanation-label_custom,prediction_4_score,Correct explanation_4? ,explanation-original_neural_score,explanation-original_rouge_1_max,explanation-original_rouge_2_max,explanation-original_rouge_L_max,label-explanation-original_neural_score,label-explanation-original_rouge_1_max,label-explanation-original_rouge_2_max,label-explanation-original_rouge_L_max,label-explanation-original_correct_label?,label-explanation-original_label_difference,explanation-custom_neural_score,explanation-custom_rouge_1_max,explanation-custom_rouge_2_max,explanation-custom_rouge_L_max,label-explanation-custom_neural_score,label-explanation-custom_rouge_1_max,label-explanation-custom_rouge_2_max,label-explanation-custom_rouge_L_max,label-explanation-custom_correct_label?,label-explanation-custom_label_difference,
4579,148,A person with a purple shirt is painting an image of a woman on a white wall.,A woman paints a portrait of a person.,neutral,Just because a person with a purple shirt is painting an image of a woman on a white wall does not indicate that a woman paints a portrait of a person.,4,1,neutral: Just because a person is painting an image of a woman on a white wall does not mean it is a portrait of a person.,4,1,Just because a person is painting an image of a woman on a white wall does not mean she is painting a portrait of a person.,4,1,contradiction: A person painting an image of a woman is not the same as a woman painting a portrait of a person.,1,0,0.132075488,0.740740741,0.538461538,0.666666667,0.086652623,0.653061224,0.468085106,0.571428571,TRUE," predicted: neutral, target: neutral",0.081109378,0.653061224,0.425531915,0.571428571,0.102954267,0.577777778,0.341463415,0.444444444,FALSE," predicted: contradiction, target: neutral",
4278,691,A busy street with numerous people interacting and going about their lives.,The morning rush hour fills the streets with busy people.,neutral,Just because a busy street with numerous people interacting and going about their lives does not indicate that the morning rush hour fills the streets with busy people.,3,1,neutral: A busy street with numerous people interacting and going about their lives does not indicate that morning rush hour fills the streets with busy people.,3,1,Just because a busy street with numerous people interacting and going about their lives does not mean it is morning rush hour.,3,1,neutral: A busy street with numerous people interacting and going about their lives does not indicate that it is morning rush hour fills the streets with busy people.,3,1,0.068657502,0.4,0.263157895,0.4,0.08129853,0.421052632,0.277777778,0.421052632,TRUE," predicted: neutral, target: neutral",0.132936174,0.647058824,0.5,0.647058824,0.123131228,0.5,0.368421053,0.5,TRUE," predicted: neutral, target: neutral",
1890,793,Two people talking on a dock.,people outside,entailment,People on a dock are outside.,4,1,"entailment: Two people are people, and a dock is outside.",5,1,People are on a dock so they must be outside.,5,1,entailment: People on a dock are outside.,4,1,0.075621903,0.8,0.461538462,0.8,0.042362151,0.6,0.32,0.518518519,TRUE," predicted: entailment, target: entailment",0.07295383,0.736842105,0.444444444,0.631578947,0.079373097,0.75,0.428571429,0.75,TRUE," predicted: entailment, target: entailment",
1123,1289,A man dances with a woman in a white egyptian costume.,A man is disguise as he dances with someone.,neutral,Just because a man dances with a woman in a white egyptian costume doesn't mean he is disguise as he dances with someone.,2,1,entailment: A man dances with a woman in a white egyptian costume is a rephrasing of a man is disguise as he dances with someone.,1,0,Just because a man dances with a woman in a white egyptian costume does not mean that he is disguise as he dances with someone.,2,1,entailment: A man dances with a woman in a white egyptian costume is a rephrasing of a man is disguise as he dances with someone.,1,0,0.029628278,0.474576271,0.280701754,0.440677966,0.030980179,0.6,0.344827586,0.533333333,FALSE," predicted: entailment, target: neutral",0.030772871,0.533333333,0.275862069,0.5,0.030980179,0.6,0.344827586,0.533333333,FALSE," predicted: entailment, target: neutral",
8036,1296,A tan dog chases a black and white soccer ball.,A dog is at the park with it's owner.,neutral,Just because a dog chases a soccer ball does not mean it is at the park with its owner.,5,1,neutral: Just because a dog chases a soccer ball does not mean it is at the park with its owner.,5,1,A dog chases a ball does not imply it is at the park with its owner.,4,1,neutral: Just because a dog chases a ball does not mean it is at the park with its owner.,5,1,0.195368816,0.857142857,0.727272727,0.857142857,0.19801263,0.833333333,0.705882353,0.833333333,TRUE," predicted: neutral, target: neutral",0.339919651,1,1,1,0.235874418,0.857142857,0.787878788,0.857142857,TRUE," predicted: neutral, target: neutral",
6421,1545,Man sitting on bench with a suitcase in front of PADDINGTON sign.,A man taking a break,neutral,Just because a man is sitting on a bench does not mean he is taking a break.,5,1,neutral: Just because a man is sitting on a bench does not mean he is taking a break.,5,1,Just because a man is sitting on a bench does not mean he is taking a break.,5,1,neutral: Sitting on a bench does not imply taking a break.,5,1,0.161683862,0.666666667,0.48,0.551724138,0.129882039,0.642857143,0.461538462,0.533333333,TRUE," predicted: neutral, target: neutral",0.161683862,0.666666667,0.48,0.551724138,0.210505622,0.952380952,0.736842105,0.695652174,TRUE," predicted: neutral, target: neutral",
1112,1625,A solo shot of a man riding a four wheeler in an atv event.,The man is riding fast on the four wheeler.,neutral,Just because a man is riding a four wheeler doesn't mean he is riding fast.,5,1,neutral: Just because a man is riding a four wheeler does not mean he is riding fast.,5,1,Just because the man is riding a four wheeler doesn't mean he is riding fast.,5,1,neutral: Just because a man is riding a four wheeler doesn't mean he is riding fast.,5,1,0.040182565,0.769230769,0.648648649,0.769230769,0.030806948,0.65,0.526315789,0.65,TRUE," predicted: neutral, target: neutral",0.04139672,0.717948718,0.540540541,0.717948718,0.031366026,0.75,0.631578947,0.75,TRUE," predicted: neutral, target: neutral",
6130,1780,A concert with a blue shirted boy in the front and light shining in the back,The moment has it's fan,contradiction,A concert with a blue shirted boy in the front and light shining in the back is not a moment with it's fan.,3,1,neutral: A concert with a blue shirted boy in the front and light shining in the back does not imply that the moment has it's fan.,3,1,A concert with a blue shirted boy in the front and light shining in the back is not a moment with it's fan.,3,1,neutral: A concert with a blue shirted boy in the front and light shining in the back does not imply that the moment has it's fan.,3,1,0.128027336,0.666666667,0.511627907,0.666666667,0.121638719,0.708333333,0.608695652,0.708333333,FALSE," predicted: neutral, target: contradiction",0.128027336,0.666666667,0.511627907,0.666666667,0.121638719,0.708333333,0.608695652,0.708333333,FALSE," predicted: neutral, target: contradiction",
1480,1847,Africans are walking down a dirt road with straw huts in the background.,The people are walking in the dirt,entailment,Africans are people.,5,1,entailment: Africans are people.,5,1,Africans are people.,5,1,entailment: Africans are people.,5,1,0.067049147,0.444444444,0.285714286,0.444444444,0.036365168,0.4,0.25,0.4,TRUE," predicted: entailment, target: entailment",0.067049147,0.444444444,0.285714286,0.444444444,0.036365168,0.4,0.25,0.4,TRUE," predicted: entailment, target: entailment",
7955,2187,"Two skateboarders, one wearing a black t-shirt and the other wearing a white t-shirt, race each other.",Two skateboarders race.,entailment,"""Two skateboarders race each other"" is a rephrasing of ""Two skateboarders race"".",4,1,entailment: Two skateboarders race each other is a rephrasing of two skateboarders race.,4,1,Two skateboarders race each other is the same as two skateboarders race.,3,1,entailment: Two skateboarders race each other is a rephrasing of two skateboarders race.,4,1,0.197786152,0.666666667,0.454545455,0.5,0.192918874,0.64,0.434782609,0.48,TRUE," predicted: entailment, target: entailment",0.258868316,0.916666667,0.727272727,0.75,0.19291892,0.64,0.434782609,0.48,TRUE," predicted: entailment, target: entailment",
7755,2316,"Three men dressed in white shirts and white hats, (two with baseball caps, the leader with a white construction helmet), pounding sticks on steel and plastic drums.",Three brothers pound on some drums,neutral,"Three men dressed in white shirts and white hats, (two with baseball caps, the leader with a white construction helmet), pounding sticks on steel and plastic drums does not indicate that Three brothers pound on some drums",3,1,neutral: Not all men are brothers.,4,1,"Just because three men dressed in white shirts and white hats, (two with baseball caps, the leader with a white construction helmet), pounding sticks on steel and plastic drums does not mean they are brothers.",3,1,neutral: Not all men are brothers.,4,1,0.32153284,0.833333333,0.8,0.833333333,0.182154543,0.727272727,0.444444444,0.727272727,TRUE," predicted: neutral, target: neutral",0.441680436,1,1,1,0.182154543,0.727272727,0.444444444,0.727272727,TRUE," predicted: neutral, target: neutral",
7931,2553,A woman in a blue striped shirt is talking to someone on the street.,A woman dancing in the street.,contradiction,The woman can't be talking and dancing at the same time.,3,1,contradiction: A woman can't be talking and dancing at the same time.,3,1,The woman can't be talking and dancing at the same time.,3,1,contradiction: A woman can't be talking and dancing at the same time.,3,1,0.259510804,0.7,0.555555556,0.7,0.19146458,0.666666667,0.421052632,0.571428571,TRUE," predicted: contradiction, target: contradiction",0.259510804,0.7,0.555555556,0.7,0.19146458,0.666666667,0.421052632,0.571428571,TRUE," predicted: contradiction, target: contradiction",
737,2622,Two oriental older women gathering rice from the fields.,The old Asian women are chasing each other.,contradiction,The women cannot be gathering rice and chasing each other at the same time.,4,1,contradiction: Gathering rice is different than chasing each other.,5,1,The women can't be gathering rice and chasing each other at the same time.,4,1,contradiction: Gathering rice is different than chasing each other.,5,1,0.048626517,0.56,0.266666667,0.56,0.024262943,0.5,0.333333333,0.5,TRUE," predicted: contradiction, target: contradiction",0.047117213,0.538461538,0.258064516,0.538461538,0.024262955,0.5,0.333333333,0.5,TRUE," predicted: contradiction, target: contradiction",
3647,2646,A man stands by a load of boxes near a pizza restaurant.,A man stands near a load of boxes on fire.,contradiction,The man cannot be standing by a load of boxes near a pizza restaurant if he is standing near a load of boxes on fire.,3,0,contradiction: The man cannot be standing by a load of boxes and be standing near a load of boxes on fire at the same time.,3,0,The man cannot be near a pizza restaurant and on fire at the same time.,1,0,"contradiction: The man is either standing by a load of boxes near a pizza restaurant, or he is standing near a load of boxes on fire.",3,1,0.157880612,0.714285714,0.5,0.619047619,0.070169083,0.511627907,0.3,0.476190476,TRUE," predicted: contradiction, target: contradiction",0.058235436,0.484848485,0.266666667,0.4375,0.154110341,0.790697674,0.585365854,0.697674419,TRUE," predicted: contradiction, target: contradiction",
3866,2670,A roofer in a gray sweatshirt and orange hat walks on a unfinished roof at a lake-side home.,The roofer is outside working.,entailment,A roofer walks on a unfinished roof at a lake-side home means he is outside working.,3,1,"entailment: If a roofer walks on a unfinished roof at a lake-side home, then the roofer is outside working.",4,1,A roofer walks on a unfinished roof at a lake-side home is a rephrasing of the roofer is outside working.,1,0,"entailment: If a roofer walks on a unfinished roof at a lake-side home, it follows that he is outside working.",4,1,0.072343777,0.648648649,0.285714286,0.540540541,0.073909162,0.65,0.322580645,0.5,TRUE," predicted: entailment, target: entailment",0.066066075,0.682926829,0.3125,0.487804878,0.057450816,0.585365854,0.256410256,0.487804878,TRUE," predicted: entailment, target: entailment",
2304,2676,Man jumping up in the air and splitting his legs with his mouth open.,A man is walking down the street.,contradiction,The man cannot be jumping and walking at the same time.,4,1,contradiction: The man cannot be jumping up in the air and walking down the street at the same time.,4,1,A man cannot be jumping up in the air and walking down the street at the same time.,4,1,contradiction: A man cannot be jumping up in the air and walking down the street at the same time.,4,1,0.158459848,0.555555556,0.5,0.555555556,0.048759723,0.611111111,0.352941176,0.555555556,TRUE," predicted: contradiction, target: contradiction",0.05940854,0.685714286,0.424242424,0.628571429,0.055729659,0.666666667,0.411764706,0.611111111,TRUE," predicted: contradiction, target: contradiction",
2848,3230,A person waterskiing in a river with a large wall in the background.,A person waterskiing in a river with a wall in the background.,entailment,A person waterskiing in a river with a large wall in the background is a rephrasing of a person waterskiing in a river with a wall in the background.,4,1,entailment: A person waterskiing in a river with a large wall in the background is a rephrasing of a person waterskiing in a river with a wall in the background.,4,1,A person waterskiing in a river with a large wall in the background is a rephrasing of a person waterskiing in a river with a wall in the background.,4,1,entailment: A person waterskiing in a river with a large wall in the background is the same as a person waterskiing in a river with a wall in the background.,4,1,0.064487406,0.45,0.157894737,0.4,0.056609325,0.43902439,0.153846154,0.390243902,TRUE," predicted: entailment, target: entailment",0.064487406,0.45,0.157894737,0.4,0.052623814,0.43902439,0.153846154,0.390243902,TRUE," predicted: entailment, target: entailment",
7254,3272,Many people who appear to be Asian stand in line at a train station waiting patiently for the next train.,the people are running through fire,contradiction,People cannot stand in line at a train station and be running through fire at the same time.,5,1,contradiction: People cannot stand in line at a train station and be running through fire at the same time.,5,1,The people cannot stand in line and be running through fire at the same time.,5,1,contradiction: People who stand in line at a train station waiting patiently for the next train cannot be running through fire at the same time.,5,1,0.197302383,0.666666667,0.4,0.666666667,0.15933966,0.642857143,0.384615385,0.642857143,TRUE," predicted: contradiction, target: contradiction",0.227394915,0.75,0.454545455,0.75,0.154517105,0.55,0.421052632,0.55,TRUE," predicted: contradiction, target: contradiction",
8358,3401,"In front of a brick house with a straw roof and some figures, three children stand, two of them holding squares of blackboard.",The children are putting out a fire nearby,contradiction,The children cannot be holding squares of blackboard and putting out a fire at the same time.,5,1,contradiction: The children cannot be holding squares of blackboard and putting out a fire at the same time.,5,1,The children cannot be holding squares of blackboard and putting out a fire at the same time.,5,1,contradiction: The children can't be holding squares of blackboard and putting out a fire at the same time.,5,1,0.231125066,1,0.75,0.705882353,0.218992481,0.971428571,0.727272727,0.685714286,TRUE," predicted: contradiction, target: contradiction",0.231125066,1,0.75,0.705882353,0.222441376,0.888888889,0.588235294,0.611111111,TRUE," predicted: contradiction, target: contradiction",
8090,3550,"A juggler wearing a plaid kilt and a green shirt, juggling.",A person juggles balls in a kilt.,neutral,Just because a juggler is juggling doesn't mean he juggles balls.,5,1,"neutral: A juggler wearing a plaid kilt and a green shirt, juggling does not indicate that he juggles balls in a kilt.",3,1,Just because a juggler is juggling doesn't mean he juggles balls in a kilt.,4,1,neutral: Just because a juggler is juggling doesn't mean he juggles balls.,5,1,0.045628943,0.571428571,0.424242424,0.571428571,0.202059447,0.711111111,0.651162791,0.711111111,TRUE," predicted: neutral, target: neutral",0.049185414,0.684210526,0.555555556,0.684210526,0.036831104,0.555555556,0.411764706,0.555555556,TRUE," predicted: neutral, target: neutral",
6545,4211,group of people sweeping the floor and cleaning,There are people working.,entailment,Sweeping is a form of working.,5,1,entailment: Sweeping is a form of working.,5,1,Sweeping is a form of working.,5,1,entailment: Sweeping is a form of working.,5,1,0.166401177,0.75,0.571428571,0.75,0.133680598,0.705882353,0.533333333,0.705882353,TRUE," predicted: entailment, target: entailment",0.166401177,0.75,0.571428571,0.75,0.133680598,0.705882353,0.533333333,0.705882353,TRUE," predicted: entailment, target: entailment",
9279,4584,a male teen is working on a school project.,The boy sitting on top of his dads truck.,contradiction,The boy cannot be working on a school project and sitting on top of his dads truck at the same time.,5,1,contradiction: The boy cannot be working on a school project and sitting on top of his dads truck at the same time.,5,1,A boy cannot be working on a school project and sitting on top of his dads truck at the same time.,5,1,contradiction: The boy cannot be working on a school project and sitting on top of his dads truck at the same time.,5,1,0.336626672,0.769230769,0.702702703,0.769230769,0.304902831,0.75,0.684210526,0.75,TRUE," predicted: contradiction, target: contradiction",0.310936627,0.769230769,0.702702703,0.769230769,0.304902831,0.75,0.684210526,0.75,TRUE," predicted: contradiction, target: contradiction",
855,4906,Man jumping over a rusty fence on a blue bicycle.,Man doing a trick riding his bicycle.,entailment,A man jumping over a fence on a blue bicycle is doing a trick riding his bicycle.,3,1,neutral: Jumping over a fence does not imply doing a trick.,1,0,Jumping over a fence is a trick.,5,1,neutral: Jumping over a fence does not imply doing a trick.,1,0,0.063943089,0.64516129,0.434782609,0.580645161,0.026740122,0.526315789,0.352941176,0.526315789,FALSE," predicted: neutral, target: entailment",0.07081158,0.666666667,0.307692308,0.666666667,0.026740122,0.526315789,0.352941176,0.526315789,FALSE," predicted: neutral, target: entailment",
1434,5015,Three people posing for a camera,There are people making different poses.,neutral,Posing for a camera does not imply making different poses.,4,1,entailment: Posing for a camera implies making different poses.,1,0,Posing for a camera does not imply making different poses.,4,1,entailment: Posing for a camera implies making different poses.,1,0,0.045651011,0.5,0.384615385,0.5,0.035699045,0.518518519,0.4,0.518518519,FALSE," predicted: entailment, target: neutral",0.045651076,0.5,0.384615385,0.5,0.035699045,0.518518519,0.4,0.518518519,FALSE," predicted: entailment, target: neutral",
3345,5374,A man and a child painting a post.,The boy and his father making the post look better.,entailment,A man and a child are a boy and his father. Painting a post is a way of making the post look better.,4,1,neutral: Just because a man and a child are painting a post doesn't mean they are making the post look better.,2,0,A man and a child are a boy and his father. Painting a post is a way of making the post look better.,4,1,neutral: Just because a man and a child are painting a post doesn't mean they are making the post look better.,2,0,0.21875515,0.695652174,0.388888889,0.608695652,0.064960361,0.488888889,0.23255814,0.444444444,FALSE," predicted: neutral, target: entailment",0.21875515,0.695652174,0.388888889,0.608695652,0.064960361,0.488888889,0.23255814,0.444444444,FALSE," predicted: neutral, target: entailment",
7434,6278,"Two men, one in a blue shirt and one in a green shirt analyze a piece of paper in the middle of a workshop area.",The guys are having a party at the park.,contradiction,The men cannot analyze a piece of paper in the middle of a workshop area and be having a party at the park at the same time.,5,1,contradiction: The men cannot analyze a piece of paper in the middle of a workshop area and having a party at the park at the same time.,5,1,The men cannot analyze a piece of paper in the middle of a workshop area and be having a party at the park at the same time.,5,1,contradiction: A workshop area is not a park.,5,1,0.177132962,0.666666667,0.45,0.619047619,0.167605348,0.619047619,0.45,0.619047619,TRUE," predicted: contradiction, target: contradiction",0.177132962,0.666666667,0.45,0.619047619,0.038993746,0.461538462,0.095238095,0.461538462,TRUE," predicted: contradiction, target: contradiction",
8372,6670,A bald man is getting out of a small blue car.,The bald man got out of a red truck.,contradiction,A car is not a truck.,2,0,contradiction: A blue car is not a red truck.,5,1,A blue car is not a red truck.,5,1,contradiction: A blue car is not a red truck.,5,1,0.06539776,0.666666667,0.153846154,0.666666667,0.21984063,0.777777778,0.625,0.777777778,TRUE," predicted: contradiction, target: contradiction",0.24505344,0.823529412,0.666666667,0.823529412,0.21984063,0.777777778,0.625,0.777777778,TRUE," predicted: contradiction, target: contradiction",
375,6878,"Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.",Two girls are playing,entailment,Two girls are playing in the snow is a rephrasing of two girls are playing.,4,1,entailment: Two young girls are playing in the snow and having a snowball fight in a clearing outside of a wooded area.,3,1,"Two girls are playing is a rephrasing of two young girls, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.",3,1,entailment: Two young girls are playing in the snow and having a snowball fight in a clearing outside of a wooded area.,3,1,0.070004239,0.583333333,0.363636364,0.583333333,0.017423543,0.387096774,0.275862069,0.322580645,TRUE," predicted: entailment, target: entailment",0.017801129,0.368421053,0.222222222,0.263157895,0.017423543,0.387096774,0.275862069,0.322580645,TRUE," predicted: entailment, target: entailment",
1027,7060,Two dogs wearing muzzles are running.,the dogs are running away,neutral,Running does not imply running away.,5,1,neutral: Running does not imply running away.,5,1,Just because the dogs are running doesn't mean they are running away.,5,1,neutral: Running does not imply running away.,5,1,0.04019758,0.5,0.142857143,0.5,0.029520263,0.470588235,0.133333333,0.470588235,TRUE," predicted: neutral, target: neutral",0.063058382,0.571428571,0.307692308,0.571428571,0.029520256,0.470588235,0.133333333,0.470588235,TRUE," predicted: neutral, target: neutral",
2206,7465,Three people in uniform are outdoors and are observing a scene which is out of the picture.,Uniformed people are outside,entailment,Three people in uniform are outdoors and are observing a scene which is out of the picture simply means Uniformed people are outside,3,1,entailment: Uniformed people are outside is a rephrasing of three people in uniform are outdoors and are observing a scene which is out of the picture.,3,1,Three people in uniform are observing a scene which is out of the picture is a rephrasing of Uniformed people are outside.,2,0,entailment: Uniformed people are outside is a rephrasing of three people in uniform are outdoors.,4,1,0.030168124,0.578947368,0.277777778,0.368421053,0.047079146,0.536585366,0.256410256,0.487804878,TRUE," predicted: entailment, target: entailment",0.037069598,0.540540541,0.285714286,0.344827586,0.064071812,0.6,0.260869565,0.48,TRUE," predicted: entailment, target: entailment",
5270,7480,Two teams of men are playing basketball on a court in an empty stadium.,The men are playing in front of a huge crowd.,contradiction,The men cannot be in front of a huge crowd if they are in an empty stadium.,5,1,contradiction: The men cannot be in front of a huge crowd if they are in an empty stadium.,5,1,The men cannot be in front of a huge crowd if they are in an empty stadium.,5,1,contradiction: The men cannot be in front of a huge crowd if they are in an empty stadium.,5,1,0.113894795,0.823529412,0.625,0.823529412,0.100907891,0.8,0.606060606,0.8,TRUE," predicted: contradiction, target: contradiction",0.113894795,0.823529412,0.625,0.823529412,0.100907891,0.8,0.606060606,0.8,TRUE," predicted: contradiction, target: contradiction",
5477,7743,A woman in a white dress with a white umbrellas is giving something to a woman in dark blue.,A woman in white hands something to a woman in blue.,entailment,A woman in white hands something to a woman in blue is a rephrasing of a woman in a white dress with a white umbrellas is giving something to a woman in dark blue.,4,1,entailment: A woman in a white dress with a white umbrellas is giving something to a woman in dark blue simply means woman in white hands something to a woman in blue,4,1,A woman in a white dress with a white umbrellas is giving something to a woman in dark blue is same as woman in white hands something to a woman in blue,4,1,entailment: A woman in a white dress with a white umbrellas is giving something to a woman in dark blue is a rephrasing of a woman in white hands something to a woman in blue.,4,1,0.106129761,0.782608696,0.597014925,0.52173913,0.105744939,0.776119403,0.615384615,0.626865672,TRUE," predicted: entailment, target: entailment",0.113503681,0.865671642,0.646153846,0.626865672,0.108356567,0.771428571,0.588235294,0.6,TRUE," predicted: entailment, target: entailment",
5940,8347,A blond-haired baby is sitting on the floor playing with toys while looking at a black and white cat.,The baby and the cat are in the same room,entailment,A blond-haired baby is sitting on the floor playing with toys while looking at a black and white cat simply means baby and the cat are in the same room,3,1,entailment: A blond-haired baby is sitting on the floor playing with toys while looking at a black and white cat simply means baby and the cat are in the same room,3,1,The baby and the cat are in the same room because they are sitting on the floor playing with toys while looking at a black and white cat.,2,1,neutral: Just because a baby is sitting on the floor playing with toys while looking at a black and white cat does not mean they are in the same room.,1,0,0.106414069,0.79245283,0.666666667,0.754716981,0.117001518,0.777777778,0.653846154,0.740740741,TRUE," predicted: entailment, target: entailment",0.183142072,0.68,0.625,0.652173913,0.084089729,0.576923077,0.4,0.538461538,FALSE," predicted: neutral, target: entailment",
4694,8770,"A young woman cooks a meal in a wok while conversing with another woman, as an illuminated shrine to Mr. T looks on.",A young chef teaches her sister how to prepare a recipe.,neutral,"Just because a young woman cooks a meal in a wok while conversing with another woman, as an illuminated shrine to Mr. T looks on does not indicate that a young chef teaches her sister how to prepare a recipe.",4,1,"neutral: A young woman cooks a meal in a wok while conversing with another woman, as an illuminated shrine to Mr. T looks on does not indicate that a young chef teaches her sister how to prepare a recipe.",4,1,"A young woman cooks a meal in a wok while conversing with another woman, as an illuminated shrine to Mr. T looks on does not necessary that a young chef teaches her sister how to prepare a recipe.",3,1,"neutral: Just because a young woman cooks a meal in a wok while conversing with another woman, as an illuminated shrine to Mr. T looks on does not indicate that she teaches her sister how to prepare a recipe.",3,1,0.122627297,0.597701149,0.4,0.505747126,0.088690275,0.558139535,0.357142857,0.465116279,TRUE," predicted: neutral, target: neutral",0.085387602,0.564705882,0.361445783,0.470588235,0.12218586,0.558139535,0.404761905,0.534883721,TRUE," predicted: neutral, target: neutral",
9534,8827,"Two men, wearing identical shirts look into a classic car hood.",Two people are sitting on the side of the road.,contradiction,Two men cannot look into a classic car hood and be sitting on the side of the road at the same time.,5,1,contradiction: Two men cannot look into a classic car hood and be sitting on the side of the road at the same time.,5,1,Two men cannot look into a classic car hood and be sitting on the side of the road at the same time.,5,1,contradiction: The two men cannot look into a classic car hood and be sitting on the side of the road at the same time.,5,1,0.358918266,0.829268293,0.769230769,0.829268293,0.344709302,0.80952381,0.75,0.80952381,TRUE," predicted: contradiction, target: contradiction",0.358918266,0.829268293,0.769230769,0.829268293,0.32929808,0.790697674,0.731707317,0.790697674,TRUE," predicted: contradiction, target: contradiction",
7568,9295,Smilling and laughing baby in a walker with fire engine airplane mobile and other toys on the floor,Many toys strewn about on the floor.,entailment,Smilling and laughing baby in a walker with fire engine airplane mobile and other toys on the floor simply means many toys strewn about on the floor,3,1,entailment: Smilling and laughing baby in a walker with fire engine airplane mobile and other toys on the floor simply means many toys strewn about on the floor,3,1,Smilling and laughing baby in a walker with fire engine airplane mobile and other toys on the floor simply means many toys strewn about on the floor,3,1,entailment: A baby with fire engine airplane mobile and other toys on the floor is a rephrasing of many toys strewn about on the floor.,2,0,0.141409113,0.511627907,0.390243902,0.511627907,0.173208814,0.5,0.380952381,0.5,TRUE," predicted: entailment, target: entailment",0.141409113,0.511627907,0.390243902,0.511627907,0.146193106,0.536585366,0.41025641,0.536585366,TRUE," predicted: entailment, target: entailment",
2001,9488,Three children in a black dog kennel.,There are dogs in the kennel.,contradiction,There can either be three children in a dog kennel or dogs in the kennel.,3,1,entailment: There are dogs in the kennel is a rephrasing of three children in a black dog kennel.,1,0,There can either be three children or dogs in the kennel.,3,1,entailment: There are three children in a dog kennel so there are dogs in the kennel.,1,0,0.037321718,0.518518519,0.32,0.5,0.044010186,0.6,0.214285714,0.4,FALSE," predicted: entailment, target: contradiction",0.05373433,0.52173913,0.285714286,0.434782609,0.03174506,0.5,0.307692308,0.484848485,FALSE," predicted: entailment, target: contradiction",
4557,9575,Man balding with a mustache and semi beard standing wearing a psychedelic button shirt playing the guitar as he sings.,The man knows how to play the guitar.,entailment,"If a man is playing the guitar, he knows how to play the guitar.",5,1,entailment: The man knows how to play the guitar is a rephrasing of man balding with a mustache and semi beard standing wearing a psychedelic button shirt playing the guitar as he sings.,1,0,The man knows how to play the guitar is a rephrasing of man balding with a mustache and semi beard standing wearing a psychedelic button shirt playing the guitar as he sings.,1,0,entailment: The man knows how to play the guitar is a rephrasing of man balding with a mustache and semi beard standing wearing a psychedelic button shirt playing the guitar as he sings.,1,0,0.224521843,0.896551724,0.814814815,0.666666667,0.086344847,0.583333333,0.347826087,0.5,TRUE," predicted: entailment, target: entailment",0.09140391,0.595744681,0.355555556,0.510638298,0.086344847,0.583333333,0.347826087,0.5,TRUE," predicted: entailment, target: entailment",
4476,9656,An African-American male youth is riding a green bicycle while other people are looking at pictures on a board.,A boy is walking on a sidewalk in his neighborhood.,contradiction,One cannot be riding a bicycle and walking at the same time.,5,1,contradiction: The boy cannot be riding a bicycle and walking at the same time.,5,1,The boy cannot be riding a bicycle and walking on a sidewalk at the same time.,5,1,contradiction: One cannot be riding a bicycle and walking at the same time.,5,1,0.077926008,0.692307692,0.416666667,0.538461538,0.084851232,0.714285714,0.384615385,0.571428571,TRUE," predicted: contradiction, target: contradiction",0.186422604,0.866666667,0.571428571,0.733333333,0.052102833,0.666666667,0.4,0.518518519,TRUE," predicted: contradiction, target: contradiction",
4384,9714,Girl wearing white shirt sings on stage while playing guitar,A girl plays guitar and sings for a crowd.,neutral,Just because a girl sings on stage while playing guitar doesn't mean she is singing for a crowd.,5,1,neutral: Just because a girl sings on stage while playing guitar doesn't mean she is singing for a crowd.,5,1,Just because a girl sings on stage while playing guitar doesn't mean she is singing for a crowd.,5,1,neutral: Just because a girl sings on stage while playing guitar doesn't mean she is singing for a crowd.,5,1,0.083210418,0.628571429,0.275862069,0.516129032,0.08322387,0.611111111,0.266666667,0.5,TRUE," predicted: neutral, target: neutral",0.083210418,0.628571429,0.275862069,0.516129032,0.08322387,0.611111111,0.266666667,0.5,TRUE," predicted: neutral, target: neutral",